;;Сопоставление расхода ээ по профилю нагрузки и показаниям счетчиков;;;;;;;;;;;;;;;;;;;
;;Объект:;"АИИС КУЭ РРЭ АО ""Пензенская горэлектросеть""";с;07.10.2025;;;;;;;;;;;;;;;;
;;Отчетный период (ОП):;;по;09.10.2025;Отчет:;10.10.2025 10:55:31;;;;;;;;;;;;;;
"Контроль расхода по ""отдаче""";;;;;;;;;;;;;;;;;;;;;
Наименование точки учета;;;;Прибор учета;;Адрес;Дата последнего опроса;;;;;;;;;;;;;;
Подстанция;Ячейка;v. ПО;IP;Марка ПУ (счетчик);Заводской № ПУ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 1;03.17.37;172.18.10.90:9002;СЭТ-4ТМ.03М (12лет);0804120908;;10.09.2025 8:20:07;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 5;03.17.32;172.18.10.90:9002;СЭТ-4ТМ.03М;0812104813;;10.09.2025 8:08:44;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 9;03.17.33;172.18.10.90:9002;СЭТ-4ТМ.03М;0804113389;;10.09.2025 8:11:28;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 14;03.17.32;172.18.10.90:9002;СЭТ-4ТМ.03М;0812104600;;10.09.2025 8:04:52;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 15;03.17.33;172.18.10.90:9002;СЭТ-4ТМ.03М;0812105221;;10.09.2025 8:34:39;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 19;03.17.37;172.18.10.90:9002;СЭТ-4ТМ.03М;0804120755;;10.09.2025 8:21:01;;;;;;;;;;;;;;
ПС 35/6 кВ Литейная;Ячейка 22;03.17.32;172.18.10.90:9002;СЭТ-4ТМ.03М;0812104756;;10.09.2025 8:06:37;;;;;;;;;;;;;;
